Tiempo_seg,I_m3/s
261600,22.33333333
262200,22.16666667
262800,22
263400,22
264000,22
264600,22
265200,22
265800,22
266400,22
267000,21.83333333
267600,21.66666667
268200,21.5
268800,21.33333333
269400,21.16666667
270000,21
270600,21
271200,21
271800,21
272400,21
273000,21
273600,21
274200,21
274800,21
275400,21
276000,21
276600,21
277200,21
277800,21
278400,21
279000,21
279600,21
280200,21
280800,21
281400,21
282000,21
282600,21
283200,21
283800,21
284400,21
285000,21
285600,21
286200,21
286800,21
287400,21
288000,21
288600,20.83333333
289200,20.66666667
289800,20.5
290400,20.33333333
291000,20.16666667
291600,20
292200,20
292800,20
293400,20
294000,20
294600,20
295200,20
295800,20
296400,20
297000,20
297600,20
298200,20
298800,20
299400,20
300000,20
300600,20
301200,20
301800,20
302400,20
303000,20
303600,20
304200,20
304800,20
305400,20
306000,20
306600,20
307200,20
307800,20
308400,20
309000,20
309600,20
310200,20
310800,20
311400,20
312000,20
312600,20
313200,20
313800,20
314400,20
315000,20
315600,20
316200,20
316800,20
317400,20
318000,20
318600,20
319200,20
319800,20
320400,20
321000,20
321600,20
322200,20
322800,20
323400,20
324000,20
324600,20
325200,20
325800,20
326400,20
327000,20
327600,20
328200,20
328800,20
329400,20
330000,20
330600,20
331200,20
331800,20
332400,20
333000,20
333600,20
334200,20
334800,20
335400,20
336000,20
336600,20
337200,20
337800,20
338400,20
339000,20
339600,20
340200,20
340800,20
341400,20
342000,20
